Step	Accuracy	Time
0	0.1805	0.0640
1	0.1440	0.0300
2	0.1425	0.0300
3	0.1750	0.0310
4	0.3205	0.0480
5	0.5230	0.0277
6	0.5720	0.0260
7	0.5580	0.0300
8	0.5435	0.0301
9	0.5450	0.0280
10	0.5870	0.0280
11	0.6415	0.0285
12	0.6730	0.0310
13	0.6540	0.0278
14	0.6845	0.0280
15	0.6955	0.0285
16	0.7160	0.0320
17	0.7175	0.0260
18	0.7030	0.0325
19	0.6975	0.0260
20	0.7310	0.0250
21	0.7515	0.0250
22	0.7675	0.0270
23	0.7575	0.0280
24	0.7640	0.0272
25	0.7740	0.0491
26	0.7835	0.0270
27	0.7935	0.0426
28	0.7980	0.0285
29	0.8120	0.0275
30	0.8180	0.0270
31	0.8135	0.0290
32	0.8150	0.0257
33	0.8010	0.0260
34	0.8030	0.0281
35	0.8220	0.0290
36	0.8325	0.0250
37	0.8325	0.0290
38	0.8380	0.0270
39	0.8430	0.0288
40	0.8445	0.0272
41	0.8380	0.0280
42	0.8430	0.0310
43	0.8375	0.0290
44	0.8375	0.0295
45	0.8385	0.0265
46	0.8480	0.0286
47	0.8615	0.0270
48	0.8635	0.0270
49	0.8530	0.0280
50	0.8540	0.0285
51	0.8665	0.0290
52	0.8770	0.0416
53	0.8765	0.0280
54	0.8685	0.0275
55	0.8730	0.0265
56	0.8765	0.0260
57	0.8795	0.0290
58	0.8770	0.0290
59	0.8765	0.0280
60	0.8795	0.0273
61	0.8860	0.0285
62	0.8860	0.0280
63	0.8895	0.0275
64	0.8830	0.0280
65	0.8865	0.0280
66	0.8900	0.0274
67	0.8940	0.0295
68	0.8930	0.0290
69	0.8950	0.0290
70	0.8960	0.0280
71	0.8930	0.0275
72	0.8930	0.0285
73	0.8890	0.0280
74	0.8945	0.0290
75	0.8950	0.0280
76	0.8960	0.0280
77	0.9000	0.0476
78	0.9020	0.0300
79	0.9020	0.0300
80	0.9020	0.0300
81	0.9040	0.0281
82	0.8980	0.0260
83	0.8995	0.0262
84	0.8960	0.0260
85	0.8950	0.0277
86	0.9015	0.0315
87	0.9045	0.0330
88	0.9100	0.0273
89	0.9080	0.0280
90	0.9085	0.0290
91	0.9075	0.0290
92	0.9115	0.0275
93	0.9055	0.0290
94	0.9000	0.0267
95	0.9080	0.0270
96	0.9105	0.0290
97	0.9100	0.0260
98	0.9110	0.0274
99	0.9115	0.0520
100	0.9165	0.0340
101	0.9185	0.0735
102	0.9180	0.0256
103	0.9200	0.0310
104	0.9140	0.0295
105	0.9110	0.0275
106	0.9125	0.0290
107	0.9120	0.0280
108	0.9115	0.0280
109	0.9120	0.0280
110	0.9110	0.0275
111	0.9110	0.0277
112	0.9130	0.0290
113	0.9155	0.0280
114	0.9200	0.0280
115	0.9240	0.0290
116	0.9285	0.0285
117	0.9290	0.0274
118	0.9290	0.0290
119	0.9280	0.0287
120	0.9285	0.0280
121	0.9255	0.0279
122	0.9225	0.0281
123	0.9225	0.0290
124	0.9235	0.0290
125	0.9255	0.0280
126	0.9275	0.0280
127	0.9275	0.0275
128	0.9250	0.0275
129	0.9225	0.0280
130	0.9215	0.0280
131	0.9205	0.0270
132	0.9235	0.0290
133	0.9240	0.0295
134	0.9250	0.0293
135	0.9255	0.0300
136	0.9245	0.0280
137	0.9255	0.0270
138	0.9240	0.0265
139	0.9215	0.0285
140	0.9220	0.0290
141	0.9255	0.0290
142	0.9295	0.0290
143	0.9270	0.0275
144	0.9260	0.0285
145	0.9265	0.0290
146	0.9300	0.0300
147	0.9315	0.0310
148	0.9275	0.0290
149	0.9240	0.0305
150	0.9250	0.0290
151	0.9235	0.0280
152	0.9270	0.0290
153	0.9300	0.0280
154	0.9320	0.0301
155	0.9320	0.0316
156	0.9345	0.0290
157	0.9360	0.0281
158	0.9370	0.0290
159	0.9405	0.0275
160	0.9390	0.0360
161	0.9395	0.0396
162	0.9420	0.0269
163	0.9405	0.0552
164	0.9390	0.0292
165	0.9360	0.0300
166	0.9350	0.0260
167	0.9330	0.0275
168	0.9355	0.0275
169	0.9375	0.0276
170	0.9385	0.0290
171	0.9355	0.0430
172	0.9380	0.0295
173	0.9390	0.0522
174	0.9410	0.0498
175	0.9400	0.0275
176	0.9405	0.0263
177	0.9430	0.0256
178	0.9435	0.0280
179	0.9395	0.0275
180	0.9360	0.0282
181	0.9340	0.0280
182	0.9365	0.0280
183	0.9400	0.0270
184	0.9435	0.0284
185	0.9430	0.0273
186	0.9495	0.0266
187	0.9495	0.0260
188	0.9455	0.0260
189	0.9420	0.0260
190	0.9390	0.0279
191	0.9400	0.0260
192	0.9440	0.0260
193	0.9445	0.0300
194	0.9465	0.0645
195	0.9460	0.0310
196	0.9445	0.0280
197	0.9450	0.0290
198	0.9455	0.0284
199	0.9460	0.0285
200	0.9460	0.0290
201	0.9475	0.0300
202	0.9485	0.0280
203	0.9495	0.0280
204	0.9495	0.0275
205	0.9505	0.0290
206	0.9505	0.0280
207	0.9495	0.0320
208	0.9525	0.0272
209	0.9525	0.0265
210	0.9525	0.0280
211	0.9505	0.0268
212	0.9505	0.0290
213	0.9510	0.0280
214	0.9515	0.0273
215	0.9525	0.0275
216	0.9515	0.0250
217	0.9510	0.0280
218	0.9525	0.0250
219	0.9530	0.0250
220	0.9560	0.0270
221	0.9555	0.0283
222	0.9550	0.0270
223	0.9545	0.0270
224	0.9540	0.0602
225	0.9550	0.0281
226	0.9560	0.0290
227	0.9570	0.0266
228	0.9570	0.0290
229	0.9525	0.0280
230	0.9515	0.0285
231	0.9540	0.0274
232	0.9550	0.0280
233	0.9550	0.0630
234	0.9555	0.0140
