Step	Accuracy	Time
0	0.0525	46.2185
1	0.0761	43.293
2	0.1038	43.1295
3	0.1353	43.1648
4	0.1705	43.1553
5	0.2053	44.4126
6	0.1951	43.1701
7	0.253	43.0765
8	0.2719	42.9143
9	0.2633	43.2002
10	0.2469	43.2738
11	0.2386	43.1877
12	0.2971	43.0246
13	0.3503	43.2282
14	0.3029	43.3149
15	0.3612	43.4527
16	0.386	43.1657
17	0.3458	43.1209
18	0.3617	43.3652
19	0.3831	43.1295
20	0.3323	43.8971
21	0.3766	43.2422
22	0.4047	47.2597
23	0.3941	47.5201
24	0.4075	46.7599
25	0.3865	45.9686
26	0.427	47.9053
27	0.4138	51.6492
28	0.4348	51.3089
29	0.3924	52.2519
30	0.4567	51.9464
31	0.402	50.5003
32	0.4498	52.0687
33	0.4127	51.1834
34	0.4487	51.4677
35	0.4428	50.7458
36	0.4315	50.7328
37	0.4172	51.1146
38	0.4259	51.122
39	0.4253	51.3784
40	0.4528	50.9505
41	0.4001	51.3415
42	0.3724	51.7113
43	0.404	51.5468
44	0.4465	50.9974
45	0.4433	47.7918
46	0.4444	48.8918
47	0.4754	45.2301
48	0.4314	44.4922
49	0.4368	45.7356
50	0.471	46.7192
51	0.4668	45.7486
52	0.4386	44.972
53	0.4177	45.573
54	0.4683	45.2112
55	0.4425	45.2745
56	0.467	45.1877
57	0.405	45.9886
58	0.4496	45.9678
59	0.6321	45.5067
60	0.6442	45.1688
61	0.6473	45.1991
62	0.6362	44.8316
63	0.6437	45.3645
64	0.649	45.6744
65	0.6318	46.0816
66	0.6476	46.8927
67	0.636	48.106
68	0.6352	47.6928
69	0.643	47.8661
70	0.644	47.4993
71	0.6197	47.571
72	0.6334	46.1722
73	0.6422	45.6502
74	0.6391	47.5967
75	0.6194	47.7308
76	0.6136	47.77
77	0.638	47.5585
78	0.6331	47.7432
79	0.636	47.6153
80	0.6351	47.8763
81	0.6302	47.3479
82	0.6365	47.801
83	0.646	47.637
84	0.6194	47.5591
85	0.6297	47.5069
86	0.6133	47.6749
87	0.6292	48.0219
88	0.616	47.483
89	0.6362	47.5492
90	0.6392	47.4065
91	0.634	45.5711
92	0.6331	42.8264
93	0.6395	44.7896
94	0.6353	50.8114
95	0.6505	49.2883
96	0.6335	50.6844
97	0.636	49.7144
98	0.6327	48.5131
99	0.6346	50.248
