Step	Accuracy	Time
0	0.1359	237.2198
1	0.2242	233.7961
2	0.3663	233.05
3	0.3834	233.0179
4	0.4255	233.0746
5	0.4553	232.9843
6	0.467	233.4165
7	0.4773	233.195
8	0.4856	233.0666
9	0.5202	233.0464
10	0.5104	232.9013
11	0.5073	232.9828
12	0.5276	232.9637
13	0.5263	233.1803
14	0.5493	230.6365
15	0.5418	218.703
16	0.525	219.0749
17	0.5276	218.7814
18	0.5513	218.7399
19	0.5398	218.0985
20	0.5631	217.924
21	0.5395	217.9116
22	0.5745	218.1876
23	0.5228	218.1398
24	0.5579	217.9362
25	0.5502	217.9322
26	0.5622	218.3099
27	0.5351	218.2887
28	0.5548	218.0268
29	0.5764	218.1842
30	0.5652	218.2527
31	0.5774	217.9305
32	0.5708	217.8825
33	0.5601	218.7016
34	0.5436	218.021
35	0.5918	217.9919
36	0.5571	217.9088
37	0.5602	218.2905
38	0.5813	217.993
39	0.5754	217.9962
40	0.5805	218.0562
41	0.5896	217.8651
42	0.5956	217.8921
43	0.5759	218.1424
44	0.5704	218.304
45	0.57	218.0448
46	0.5649	218.2118
47	0.5855	218.2663
48	0.5622	218.0443
49	0.5592	218.0821
50	0.5799	218.2017
51	0.5555	218.2358
52	0.5836	217.9778
53	0.5972	218.1352
54	0.6031	218.7245
55	0.5697	218.197
56	0.5742	218.0279
57	0.6004	218.4624
58	0.582	218.1903
59	0.7426	217.7688
60	0.7559	218.1695
61	0.7477	218.0819
62	0.7497	217.777
63	0.7427	218.4375
64	0.7431	218.0067
65	0.7403	217.9704
66	0.726	217.9946
67	0.732	218.503
68	0.7236	218.1217
69	0.7256	218.0842
70	0.7246	217.9014
71	0.7155	218.0211
72	0.7202	222.802
73	0.7209	218.7714
74	0.7106	218.9564
75	0.7319	218.6925
76	0.7138	218.841
77	0.7114	218.1171
78	0.707	218.2685
79	0.7081	218.0429
80	0.7064	218.2723
81	0.7044	218.0436
82	0.7109	217.8707
83	0.7124	217.933
84	0.7155	217.7688
85	0.7096	217.89
86	0.712	218.0383
87	0.7222	218.0961
88	0.7069	217.8146
89	0.7191	218.0479
90	0.7209	225.5124
91	0.6929	218.9989
92	0.7118	218.8448
93	0.7199	218.8741
94	0.7124	218.2043
95	0.7107	218.0197
96	0.7181	218.0573
97	0.707	217.8404
98	0.7132	218.4865
99	0.6985	217.9253
