Step	Accuracy	Time
0	0.0926	118.0275
1	0.2043	118.4364
2	0.2676	119.34
3	0.3315	118.4691
4	0.3826	119.1226
5	0.4499	119.0336
6	0.4355	118.4499
7	0.4603	118.7799
8	0.4822	118.0516
9	0.4943	119.4079
10	0.4933	132.6308
11	0.4974	132.8265
12	0.4687	123.0422
13	0.457	129.1876
14	0.5226	131.9787
15	0.5307	131.4797
16	0.5424	131.4803
17	0.5693	129.5864
18	0.5583	120.9719
19	0.5333	131.5886
20	0.5472	117.3153
21	0.5818	122.0011
22	0.5465	131.593
23	0.5597	131.388
24	0.5378	129.9678
25	0.5451	125.2682
26	0.5514	125.3437
27	0.5801	125.3683
28	0.5561	125.3334
29	0.5126	125.3824
30	0.5771	124.9903
31	0.5667	109.935
32	0.569	110.1936
33	0.5604	110.1707
34	0.5738	109.8558
35	0.5664	110.2558
36	0.5827	110.1153
37	0.5514	110.2935
38	0.5807	110.3823
39	0.5651	110.1292
40	0.5484	110.3562
41	0.5833	109.8363
42	0.5869	109.9466
43	0.5796	109.7914
44	0.5771	110.0145
45	0.5891	109.8533
46	0.6041	110.1638
47	0.5873	110.2399
48	0.5651	109.7879
49	0.5538	109.8509
50	0.5575	110.0393
51	0.5624	109.7174
52	0.5798	109.7448
53	0.6074	109.842
54	0.564	109.659
55	0.586	109.7007
56	0.5695	109.8563
57	0.5822	109.8154
58	0.5545	109.8585
59	0.7293	109.8757
60	0.734	109.6261
61	0.736	109.7755
62	0.7332	109.926
63	0.7284	109.9657
64	0.7271	109.9239
65	0.7276	110.0096
66	0.7152	109.5951
67	0.719	109.7181
68	0.7113	109.8433
69	0.715	109.6979
70	0.7058	109.7027
71	0.7011	109.9
72	0.6999	109.6733
73	0.7002	109.6155
74	0.6995	109.7931
75	0.6854	109.7341
76	0.6976	109.6513
77	0.7043	109.7481
78	0.6995	109.5553
79	0.6934	109.6325
80	0.6944	109.7505
81	0.6923	109.7054
82	0.6815	109.5688
83	0.6925	109.8149
84	0.7022	109.8065
85	0.6941	109.7105
86	0.6943	109.5947
87	0.6918	109.6381
88	0.6848	109.8076
89	0.6904	109.7991
90	0.6881	109.712
91	0.6699	109.9236
92	0.6957	109.7031
93	0.6955	109.5382
94	0.6879	109.8088
95	0.7012	109.8193
96	0.6974	109.6208
97	0.6768	109.6885
98	0.6761	109.8123
99	0.6804	109.7518
