Step	Accuracy	Time
0	0.1380	0.0203
1	0.1840	0.0010
2	0.2285	0.0000
3	0.2800	0.0000
4	0.3305	0.0010
5	0.3710	0.0010
6	0.3955	0.0010
7	0.4190	0.0000
8	0.4420	0.0000
9	0.4640	0.0000
10	0.4805	0.0000
11	0.4940	0.0000
12	0.5080	0.0000
13	0.5220	0.0000
14	0.5365	0.0000
15	0.5485	0.0000
16	0.5625	0.0000
17	0.5760	0.0010
18	0.5860	0.0000
19	0.6085	0.0000
20	0.6275	0.0010
21	0.6385	0.0010
22	0.6475	0.0000
23	0.6615	0.0010
24	0.6760	0.0010
25	0.6855	0.0000
26	0.6910	0.0010
27	0.7030	0.0010
28	0.7130	0.0000
29	0.7185	0.0000
30	0.7195	0.0010
31	0.7230	0.0010
32	0.7285	0.0010
33	0.7315	0.0010
34	0.7365	0.0005
35	0.7425	0.0005
36	0.7520	0.0010
37	0.7570	0.0000
38	0.7625	0.0010
39	0.7625	0.0000
40	0.7660	0.0010
41	0.7670	0.0000
42	0.7680	0.0010
43	0.7700	0.0010
44	0.7680	0.0000
45	0.7690	0.0010
46	0.7700	0.0000
47	0.7695	0.0010
48	0.7720	0.0000
49	0.7735	0.0010
50	0.7745	0.0010
51	0.7775	0.0000
52	0.7770	0.0010
53	0.7775	0.0000
54	0.7770	0.0010
55	0.7765	0.0000
56	0.7770	0.0000
57	0.7795	0.0010
58	0.7795	0.0000
59	0.7785	0.0000
60	0.7785	0.0010
61	0.7805	0.0010
62	0.7830	0.0010
63	0.7840	0.0000
64	0.7850	0.0000
65	0.7835	0.0000
66	0.7845	0.0000
67	0.7855	0.0000
68	0.7885	0.0010
69	0.7880	0.0010
70	0.7890	0.0000
71	0.7900	0.0010
72	0.7945	0.0010
73	0.7940	0.0000
74	0.7950	0.0000
75	0.8005	0.0000
76	0.8015	0.0010
77	0.8010	0.0010
78	0.8020	0.0010
79	0.8020	0.0010
80	0.8045	0.0000
81	0.8035	0.0000
82	0.8040	0.0000
83	0.8050	0.0000
84	0.8080	0.0010
85	0.8085	0.0000
86	0.8090	0.0010
87	0.8090	0.0000
88	0.8090	0.0000
89	0.8085	0.0010
90	0.8100	0.0010
91	0.8115	0.0000
92	0.8115	0.0010
93	0.8135	0.0000
94	0.8165	0.0000
95	0.8175	0.0010
96	0.8195	0.0010
97	0.8205	0.0000
98	0.8205	0.0000
99	0.8210	0.0010
100	0.8220	0.0010
101	0.8230	0.0000
102	0.8240	0.0000
103	0.8245	0.0010
104	0.8260	0.0010
105	0.8260	0.0010
106	0.8255	0.0010
107	0.8245	0.0010
108	0.8255	0.0000
109	0.8260	0.0000
110	0.8260	0.0010
111	0.8250	0.0010
112	0.8255	0.0010
113	0.8250	0.0000
114	0.8285	0.0000
115	0.8270	0.0000
116	0.8285	0.0010
117	0.8295	0.0010
118	0.8295	0.0000
119	0.8285	0.0010
120	0.8285	0.0010
121	0.8285	0.0000
122	0.8280	0.0010
123	0.8275	0.0000
124	0.8285	0.0010
125	0.8285	0.0014
126	0.8275	0.0010
127	0.8280	0.0000
128	0.8290	0.0010
129	0.8290	0.0000
130	0.8290	0.0010
131	0.8290	0.0000
132	0.8270	0.0010
133	0.8275	0.0010
134	0.8280	0.0010
135	0.8305	0.0010
136	0.8290	0.0010
137	0.8300	0.0010
138	0.8310	0.0010
139	0.8310	0.0000
140	0.8325	0.0010
141	0.8310	0.0010
142	0.8315	0.0010
143	0.8325	0.0010
144	0.8330	0.0000
145	0.8345	0.0000
146	0.8345	0.0010
147	0.8325	0.0010
148	0.8340	0.0010
149	0.8370	0.0010
150	0.8360	0.0000
151	0.8370	0.0000
152	0.8385	0.0010
153	0.8385	0.0000
154	0.8400	0.0000
155	0.8420	0.0010
156	0.8405	0.0000
157	0.8410	0.0010
158	0.8405	0.0000
159	0.8410	0.0010
160	0.8400	0.0010
161	0.8415	0.0000
162	0.8420	0.0000
163	0.8420	0.0000
164	0.8425	0.0010
165	0.8410	0.0000
166	0.8410	0.0010
167	0.8410	0.0010
168	0.8410	0.0000
169	0.8420	0.0010
170	0.8405	0.0000
171	0.8405	0.0010
172	0.8410	0.0010
173	0.8410	0.0010
174	0.8415	0.0010
175	0.8420	0.0010
176	0.8410	0.0010
177	0.8415	0.0000
178	0.8420	0.0010
179	0.8435	0.0010
180	0.8435	0.0000
181	0.8430	0.0000
182	0.8420	0.0010
183	0.8420	0.0000
184	0.8420	0.0010
185	0.8420	0.0014
186	0.8420	0.0010
187	0.8430	0.0010
188	0.8425	0.0010
189	0.8415	0.0000
190	0.8425	0.0000
191	0.8430	0.0010
192	0.8430	0.0000
193	0.8425	0.0010
194	0.8410	0.0010
195	0.8425	0.0000
196	0.8425	0.0000
197	0.8430	0.0010
198	0.8420	0.0000
199	0.8420	0.0010
200	0.8435	0.0000
201	0.8445	0.0010
202	0.8445	0.0010
203	0.8460	0.0000
204	0.8450	0.0000
205	0.8460	0.0000
206	0.8475	0.0000
207	0.8470	0.0010
208	0.8465	0.0010
209	0.8460	0.0010
210	0.8465	0.0010
211	0.8465	0.0010
212	0.8470	0.0000
213	0.8455	0.0000
214	0.8445	0.0010
215	0.8440	0.0000
216	0.8455	0.0000
217	0.8460	0.0000
218	0.8460	0.0000
219	0.8460	0.0010
220	0.8445	0.0000
221	0.8430	0.0000
222	0.8445	0.0010
223	0.8445	0.0010
224	0.8460	0.0010
225	0.8460	0.0000
226	0.8460	0.0000
227	0.8465	0.0000
228	0.8460	0.0010
229	0.8460	0.0010
230	0.8465	0.0010
231	0.8465	0.0000
232	0.8465	0.0010
233	0.8475	0.0000
234	0.8485	0.0010
235	0.8485	0.0000
236	0.8485	0.0010
237	0.8490	0.0010
238	0.8505	0.0010
239	0.8510	0.0000
240	0.8510	0.0000
241	0.8510	0.0010
242	0.8520	0.0010
243	0.8525	0.0010
244	0.8530	0.0010
245	0.8525	0.0010
246	0.8525	0.0010
247	0.8530	0.0010
248	0.8525	0.0010
249	0.8515	0.0010
250	0.8525	0.0000
251	0.8525	0.0010
252	0.8530	0.0000
253	0.8535	0.0010
254	0.8540	0.0010
255	0.8530	0.0010
256	0.8525	0.0010
257	0.8530	0.0000
258	0.8520	0.0000
259	0.8520	0.0000
260	0.8535	0.0010
261	0.8535	0.0000
262	0.8530	0.0010
263	0.8540	0.0000
264	0.8540	0.0000
265	0.8535	0.0010
266	0.8535	0.0000
267	0.8540	0.0010
268	0.8545	0.0010
269	0.8545	0.0000
270	0.8550	0.0010
271	0.8550	0.0000
272	0.8555	0.0010
273	0.8545	0.0000
274	0.8550	0.0010
275	0.8550	0.0010
276	0.8545	0.0010
277	0.8555	0.0010
278	0.8555	0.0010
279	0.8565	0.0010
280	0.8570	0.0000
281	0.8570	0.0000
282	0.8575	0.0000
283	0.8575	0.0000
284	0.8565	0.0000
285	0.8565	0.0010
286	0.8555	0.0000
287	0.8560	0.0010
288	0.8560	0.0010
289	0.8570	0.0000
290	0.8565	0.0010
291	0.8565	0.0010
292	0.8575	0.0000
293	0.8555	0.0010
294	0.8560	0.0010
295	0.8575	0.0000
296	0.8585	0.0010
297	0.8605	0.0000
298	0.8610	0.0000
299	0.8605	0.0000
300	0.8615	0.0010
301	0.8620	0.0000
302	0.8625	0.0010
303	0.8625	0.0000
304	0.8620	0.0000
305	0.8635	0.0010
306	0.8620	0.0010
307	0.8615	0.0000
308	0.8600	0.0010
309	0.8605	0.0010
310	0.8595	0.0010
311	0.8605	0.0010
312	0.8585	0.0010
313	0.8575	0.0000
314	0.8575	0.0000
315	0.8585	0.0000
316	0.8585	0.0000
317	0.8600	0.0000
318	0.8610	0.0010
319	0.8610	0.0000
320	0.8620	0.0000
321	0.8615	0.0010
322	0.8630	0.0010
323	0.8625	0.0010
324	0.8620	0.0000
325	0.8625	0.0010
326	0.8620	0.0000
327	0.8620	0.0010
328	0.8615	0.0010
329	0.8620	0.0000
330	0.8610	0.0010
331	0.8610	0.0000
332	0.8610	0.0010
333	0.8615	0.0010
334	0.8610	0.0010
335	0.8605	0.0000
336	0.8605	0.0010
337	0.8605	0.0010
338	0.8605	0.0000
339	0.8605	0.0010
340	0.8605	0.0010
341	0.8615	0.0000
342	0.8625	0.0010
343	0.8625	0.0000
344	0.8630	0.0000
345	0.8625	0.0000
346	0.8630	0.0010
347	0.8635	0.0010
348	0.8635	0.0010
349	0.8635	0.0010
350	0.8635	0.0010
351	0.8630	0.0010
352	0.8625	0.0010
353	0.8615	0.0000
354	0.8615	0.0000
355	0.8620	0.0010
356	0.8605	0.0010
357	0.8610	0.0000
358	0.8610	0.0010
359	0.8610	0.0010
360	0.8605	0.0010
361	0.8620	0.0010
362	0.8610	0.0000
363	0.8625	0.0000
364	0.8615	0.0010
365	0.8620	0.0010
366	0.8625	0.0000
367	0.8630	0.0000
368	0.8625	0.0010
369	0.8625	0.0000
370	0.8620	0.0000
371	0.8615	0.0000
372	0.8610	0.0010
373	0.8610	0.0000
374	0.8610	0.0000
375	0.8615	0.0000
376	0.8615	0.0010
377	0.8610	0.0000
378	0.8620	0.0000
379	0.8630	0.0010
380	0.8630	0.0010
381	0.8630	0.0010
382	0.8640	0.0000
383	0.8645	0.0000
384	0.8660	0.0000
385	0.8670	0.0010
386	0.8675	0.0010
387	0.8675	0.0010
388	0.8670	0.0000
389	0.8655	0.0000
390	0.8655	0.0010
391	0.8650	0.0010
392	0.8650	0.0010
393	0.8660	0.0000
394	0.8660	0.0000
395	0.8670	0.0010
396	0.8660	0.0010
397	0.8660	0.0000
398	0.8665	0.0010
399	0.8675	0.0010
400	0.8675	0.0010
401	0.8685	0.0010
402	0.8680	0.0010
403	0.8685	0.0010
404	0.8675	0.0000
405	0.8660	0.0000
406	0.8670	0.0000
407	0.8670	0.0010
408	0.8665	0.0010
409	0.8660	0.0010
410	0.8665	0.0000
411	0.8670	0.0010
412	0.8680	0.0010
413	0.8680	0.0000
414	0.8680	0.0000
415	0.8685	0.0000
416	0.8695	0.0010
417	0.8695	0.0000
418	0.8695	0.0000
419	0.8700	0.0010
420	0.8685	0.0010
