Step	Accuracy	Time
0	0.1525	0.0370
1	0.1025	0.0110
2	0.1025	0.0120
3	0.1020	0.0120
4	0.1510	0.0120
5	0.1885	0.0120
6	0.1605	0.0120
7	0.1820	0.0130
8	0.1885	0.0110
9	0.3205	0.0120
10	0.3635	0.0120
11	0.3330	0.0120
12	0.3560	0.0120
13	0.3530	0.0120
14	0.3380	0.0120
15	0.3455	0.0120
16	0.3895	0.0120
17	0.4325	0.0120
18	0.4395	0.0110
19	0.3925	0.0120
20	0.3875	0.0110
21	0.4345	0.0110
22	0.4645	0.0110
23	0.4555	0.0120
24	0.4625	0.0120
25	0.5030	0.0120
26	0.4885	0.0110
27	0.5115	0.0120
28	0.5175	0.0120
29	0.5095	0.0110
30	0.4980	0.0120
31	0.4955	0.0120
32	0.5035	0.0120
33	0.5135	0.0120
34	0.5205	0.0110
35	0.5265	0.0120
36	0.5355	0.0120
37	0.5120	0.0120
38	0.5245	0.0120
39	0.5520	0.0125
40	0.5325	0.0120
41	0.5280	0.0120
42	0.5140	0.0120
43	0.5245	0.0130
44	0.5415	0.0120
45	0.5590	0.0120
46	0.5585	0.0120
47	0.5095	0.0110
48	0.5050	0.0120
49	0.5640	0.0120
50	0.5725	0.0110
51	0.5110	0.0110
52	0.5390	0.0110
53	0.5810	0.0130
54	0.5060	0.0120
55	0.5155	0.0120
56	0.5740	0.0120
57	0.6390	0.0120
58	0.6090	0.0110
59	0.5900	0.0110
60	0.6100	0.0125
61	0.6525	0.0110
62	0.6340	0.0110
63	0.6300	0.0110
64	0.6430	0.0120
65	0.6735	0.0120
66	0.6380	0.0110
67	0.5910	0.0110
68	0.5845	0.0110
69	0.6205	0.0120
70	0.6100	0.0120
71	0.6280	0.0110
72	0.6510	0.0120
73	0.6450	0.0120
74	0.6480	0.0110
75	0.6375	0.0110
76	0.6280	0.0105
77	0.6585	0.0120
78	0.6950	0.0120
79	0.7215	0.0110
80	0.6970	0.0110
81	0.6940	0.0110
82	0.7055	0.0110
83	0.7290	0.0110
84	0.7530	0.0110
85	0.7650	0.0110
86	0.7610	0.0110
87	0.7490	0.0110
88	0.7260	0.0110
89	0.6720	0.0125
90	0.6790	0.0120
91	0.6995	0.0110
92	0.6755	0.0110
93	0.6180	0.0110
94	0.6550	0.0110
95	0.7020	0.0110
96	0.6860	0.0120
97	0.6675	0.0110
98	0.7035	0.0110
99	0.7105	0.0110
100	0.6910	0.0110
101	0.7040	0.0113
102	0.7195	0.0110
103	0.7070	0.0110
104	0.7170	0.0110
105	0.7545	0.0110
106	0.7625	0.0110
107	0.6935	0.0110
108	0.6495	0.0120
109	0.6545	0.0120
110	0.7060	0.0110
111	0.7495	0.0120
112	0.7635	0.0110
113	0.7660	0.0120
114	0.7705	0.0120
115	0.7545	0.0110
116	0.7395	0.0110
117	0.7405	0.0110
118	0.7460	0.0120
119	0.7485	0.0120
120	0.7340	0.0110
121	0.7275	0.0110
122	0.7270	0.0110
123	0.7435	0.0120
124	0.7645	0.0110
125	0.7735	0.0105
126	0.7695	0.0110
127	0.7775	0.0110
128	0.7765	0.0110
129	0.8075	0.0110
130	0.8180	0.0110
131	0.8230	0.0110
132	0.8115	0.0110
133	0.8035	0.0100
134	0.8045	0.0110
135	0.8050	0.0120
136	0.8175	0.0110
