Step	Accuracy	Time
0	0.4710	0.0230
1	0.5470	0.0050
2	0.6495	0.0050
3	0.7320	0.0050
4	0.7505	0.0060
5	0.7580	0.0050
6	0.7455	0.0060
7	0.7460	0.0070
8	0.7560	0.0060
9	0.7715	0.0050
10	0.7940	0.0050
11	0.8085	0.0050
12	0.8200	0.0060
13	0.8260	0.0060
14	0.8305	0.0050
15	0.8335	0.0050
16	0.8380	0.0060
17	0.8385	0.0050
18	0.8385	0.0060
19	0.8400	0.0050
20	0.8435	0.0050
21	0.8460	0.0050
22	0.8475	0.0060
23	0.8490	0.0050
24	0.8505	0.0050
25	0.8495	0.0060
26	0.8505	0.0050
27	0.8520	0.0050
28	0.8545	0.0050
29	0.8540	0.0050
30	0.8560	0.0060
31	0.8585	0.0060
32	0.8580	0.0060
33	0.8615	0.0060
34	0.8615	0.0050
35	0.8640	0.0050
36	0.8640	0.0050
37	0.8660	0.0050
38	0.8655	0.0050
39	0.8675	0.0050
40	0.8685	0.0050
41	0.8730	0.0050
42	0.8760	0.0050
43	0.8755	0.0050
44	0.8790	0.0060
45	0.8790	0.0050
46	0.8820	0.0050
47	0.8815	0.0050
48	0.8845	0.0060
49	0.8850	0.0050
50	0.8825	0.0050
51	0.8840	0.0060
52	0.8820	0.0050
53	0.8815	0.0050
54	0.8820	0.0050
55	0.8820	0.0050
56	0.8855	0.0050
57	0.8870	0.0050
58	0.8895	0.0050
59	0.8845	0.0050
60	0.8850	0.0050
61	0.8825	0.0050
62	0.8865	0.0050
63	0.8885	0.0050
64	0.8855	0.0050
65	0.8845	0.0050
66	0.8830	0.0050
67	0.8820	0.0050
68	0.8855	0.0050
69	0.8875	0.0060
70	0.8895	0.0050
71	0.8875	0.0050
72	0.8905	0.0050
73	0.8880	0.0050
74	0.8890	0.0050
75	0.8875	0.0060
76	0.8880	0.0060
77	0.8880	0.0050
78	0.8885	0.0050
79	0.8875	0.0050
80	0.8890	0.0050
81	0.8860	0.0060
82	0.8865	0.0050
83	0.8840	0.0050
84	0.8840	0.0050
85	0.8860	0.0050
86	0.8880	0.0050
87	0.8890	0.0050
88	0.8915	0.0060
89	0.8870	0.0050
90	0.8875	0.0050
91	0.8890	0.0060
92	0.8915	0.0050
93	0.8915	0.0060
94	0.8915	0.0050
95	0.8940	0.0060
96	0.8955	0.0050
97	0.8940	0.0060
98	0.8930	0.0050
99	0.8945	0.0050
100	0.8960	0.0050
101	0.8975	0.0050
102	0.8955	0.0050
103	0.8915	0.0050
104	0.8925	0.0050
105	0.8930	0.0050
106	0.8930	0.0050
107	0.8925	0.0050
108	0.8920	0.0050
109	0.8930	0.0060
110	0.8955	0.0050
111	0.8985	0.0050
112	0.8950	0.0050
113	0.8930	0.0050
114	0.8925	0.0050
115	0.8910	0.0050
116	0.8915	0.0050
117	0.8940	0.0030
