Step	Accuracy	Time
0	0.4510	0.0300
1	0.5920	0.0060
2	0.6845	0.0060
3	0.7470	0.0060
4	0.7750	0.0057
5	0.7830	0.0065
6	0.7860	0.0110
7	0.7730	0.0060
8	0.7635	0.0060
9	0.7705	0.0050
10	0.7755	0.0070
11	0.7855	0.0060
12	0.7995	0.0060
13	0.8105	0.0127
14	0.8195	0.0075
15	0.8255	0.0060
16	0.8360	0.0060
17	0.8430	0.0048
18	0.8415	0.0050
19	0.8365	0.0070
20	0.8375	0.0060
21	0.8425	0.0050
22	0.8465	0.0060
23	0.8475	0.0050
24	0.8460	0.0060
25	0.8490	0.0055
26	0.8500	0.0060
27	0.8495	0.0060
28	0.8565	0.0070
29	0.8570	0.0060
30	0.8560	0.0060
31	0.8560	0.0060
32	0.8570	0.0060
33	0.8595	0.0130
34	0.8595	0.0070
35	0.8595	0.0071
36	0.8635	0.0060
37	0.8645	0.0050
38	0.8680	0.0050
39	0.8695	0.0050
40	0.8720	0.0080
41	0.8690	0.0060
42	0.8680	0.0060
43	0.8695	0.0060
44	0.8695	0.0060
45	0.8720	0.0060
46	0.8760	0.0065
47	0.8790	0.0060
48	0.8780	0.0060
49	0.8790	0.0060
50	0.8800	0.0060
51	0.8800	0.0070
52	0.8805	0.0060
53	0.8810	0.0050
54	0.8800	0.0050
55	0.8820	0.0050
56	0.8850	0.0090
57	0.8855	0.0065
58	0.8850	0.0060
59	0.8845	0.0130
60	0.8830	0.0225
61	0.8860	0.0060
62	0.8845	0.0060
63	0.8855	0.0050
64	0.8880	0.0060
65	0.8865	0.0050
66	0.8835	0.0060
67	0.8840	0.0055
68	0.8825	0.0050
69	0.8835	0.0161
70	0.8850	0.0050
71	0.8840	0.0050
72	0.8835	0.0200
73	0.8845	0.0090
74	0.8850	0.0060
75	0.8910	0.0050
76	0.8900	0.0061
77	0.8875	0.0060
78	0.8870	0.0060
79	0.8845	0.0160
80	0.8840	0.0105
81	0.8860	0.0080
82	0.8890	0.0054
83	0.8910	0.0060
84	0.8880	0.0050
85	0.8870	0.0050
86	0.8910	0.0050
87	0.8925	0.0050
88	0.8915	0.0050
89	0.8890	0.0050
90	0.8880	0.0060
91	0.8880	0.0050
92	0.8895	0.0050
93	0.8900	0.0050
94	0.8910	0.0050
95	0.8925	0.0055
96	0.8920	0.0060
97	0.8960	0.0100
98	0.8935	0.0070
99	0.8955	0.0070
100	0.8950	0.0080
101	0.8905	0.0070
102	0.8885	0.0110
103	0.8875	0.0060
104	0.8905	0.0060
105	0.8920	0.0050
106	0.8905	0.0050
107	0.8920	0.0050
108	0.8915	0.0050
109	0.8900	0.0050
110	0.8900	0.0050
111	0.8875	0.0050
112	0.8900	0.0060
113	0.8905	0.0075
114	0.8910	0.0060
115	0.8940	0.0070
116	0.8940	0.0070
117	0.8960	0.0055
