Step	Accuracy	Time
0	0.0416	183.5642
1	0.1635	182.0231
2	0.2364	199.8905
3	0.2786	196.5039
4	0.3495	206.9872
5	0.3688	206.3446
6	0.4105	196.7764
7	0.4343	185.6167
8	0.4254	184.829
9	0.4702	181.9727
10	0.4845	181.2976
11	0.4685	181.1466
12	0.4972	181.2538
13	0.4822	181.2455
14	0.4712	181.4102
15	0.4963	181.3116
16	0.4724	181.8946
17	0.5056	182.0397
18	0.4889	178.4464
19	0.5214	188.866
20	0.5113	181.6713
21	0.4826	181.4313
22	0.5089	181.1225
23	0.5183	180.9897
24	0.5201	180.9903
25	0.536	180.8558
26	0.5475	173.3339
27	0.5266	173.5
28	0.5508	173.2511
29	0.5056	173.1707
30	0.5354	173.3354
31	0.5222	173.2576
32	0.5095	173.2539
33	0.507	173.3478
34	0.5307	173.3666
35	0.5496	173.5247
36	0.5497	173.8211
37	0.508	173.2119
38	0.5614	173.2754
39	0.5385	173.0741
40	0.5313	173.2968
41	0.5469	173.7611
42	0.5279	173.3168
43	0.5295	173.4228
44	0.5483	173.162
45	0.551	173.239
46	0.504	173.2498
47	0.5748	173.193
48	0.5449	173.224
49	0.5789	173.1438
50	0.5404	173.173
51	0.5498	173.2941
52	0.5365	173.3572
53	0.5614	173.2457
54	0.5999	173.4466
55	0.5662	173.4104
56	0.5595	173.3288
57	0.5623	173.4409
58	0.5388	173.3497
59	0.7297	173.4002
60	0.74	173.2684
61	0.731	173.3663
62	0.7289	173.2147
63	0.7332	173.0828
64	0.7282	173.0079
65	0.7176	173.2251
66	0.7147	173.1291
67	0.7275	173.0688
68	0.6934	173.1014
69	0.7082	173.4365
70	0.7091	173.251
71	0.6981	172.9638
72	0.6991	173.1669
73	0.7007	173.3463
74	0.6885	173.0471
75	0.6966	173.1803
76	0.6893	173.3219
77	0.6897	173.2336
78	0.6852	173.0294
79	0.6903	173.1196
80	0.7077	173.3419
81	0.6739	173.2382
82	0.6916	173.1116
83	0.6848	173.1197
84	0.7042	173.2331
85	0.6884	174.0854
86	0.6908	270.2364
87	0.7011	437.6168
88	0.6875	396.7448
89	0.6829	280.538
90	0.6951	473.2753
91	0.673	351.1581
92	0.6954	182.1915
93	0.6845	182.281
94	0.6966	182.5724
95	0.6874	187.5548
96	0.6956	188.3833
97	0.6683	188.2154
98	0.6732	189.4242
99	0.6813	208.0778
