Step	Accuracy	Time
0	0.1340	0.0382
1	0.2960	0.0190
2	0.3360	0.0180
3	0.3200	0.0160
4	0.3330	0.0170
5	0.3290	0.0180
6	0.3720	0.0160
7	0.4975	0.0170
8	0.5495	0.0170
9	0.5670	0.0160
10	0.5570	0.0155
11	0.5870	0.0170
12	0.6235	0.0190
13	0.6460	0.0170
14	0.6550	0.0170
15	0.6630	0.0180
16	0.6645	0.0180
17	0.6720	0.0180
18	0.6425	0.0150
19	0.6815	0.0190
20	0.7395	0.0199
21	0.7620	0.0160
22	0.7615	0.0193
23	0.7420	0.0180
24	0.7340	0.0270
25	0.7285	0.0180
26	0.7620	0.0186
27	0.7900	0.0197
28	0.7900	0.0220
29	0.7710	0.0226
30	0.7545	0.0180
31	0.7585	0.0180
32	0.7600	0.0185
33	0.7740	0.0180
34	0.7990	0.0173
35	0.8185	0.0170
36	0.8250	0.0190
37	0.8185	0.0194
38	0.8170	0.0180
39	0.8185	0.0170
40	0.8020	0.0180
41	0.7935	0.0170
42	0.7990	0.0170
43	0.8105	0.0180
44	0.8205	0.0180
45	0.8310	0.0160
46	0.8125	0.0170
47	0.7950	0.0180
48	0.7925	0.0456
49	0.8010	0.0180
50	0.8250	0.0180
51	0.8220	0.0180
52	0.8140	0.0280
53	0.8190	0.0180
54	0.8300	0.0180
55	0.8530	0.0180
56	0.8605	0.0170
57	0.8650	0.0170
58	0.8640	0.0180
59	0.8735	0.0170
60	0.8710	0.0180
61	0.8700	0.0170
62	0.8620	0.0180
63	0.8645	0.0180
64	0.8680	0.0180
65	0.8725	0.0350
66	0.8750	0.0180
67	0.8760	0.0180
68	0.8795	0.0170
69	0.8815	0.0170
70	0.8830	0.0209
71	0.8820	0.0173
72	0.8820	0.0170
73	0.8845	0.0167
74	0.8875	0.0170
75	0.8895	0.0150
76	0.8880	0.0170
77	0.8865	0.0180
78	0.8860	0.0176
79	0.8870	0.0176
80	0.8915	0.0180
81	0.8930	0.0170
82	0.8940	0.0180
83	0.8940	0.0180
84	0.8970	0.0170
85	0.8955	0.0170
86	0.8995	0.0170
87	0.9035	0.0180
88	0.9030	0.0180
89	0.9000	0.0170
90	0.9000	0.0180
91	0.8995	0.0176
92	0.8985	0.0170
93	0.8970	0.0170
94	0.8965	0.0170
95	0.8990	0.0180
96	0.8990	0.0180
97	0.8995	0.0170
98	0.9035	0.0180
99	0.9060	0.0170
100	0.9090	0.0170
101	0.9080	0.0170
102	0.9080	0.0180
103	0.9085	0.0170
104	0.9075	0.0170
105	0.9070	0.0170
106	0.9110	0.0180
107	0.9105	0.0170
108	0.9135	0.0170
109	0.9140	0.0180
110	0.9110	0.0170
111	0.9110	0.0170
112	0.9140	0.0170
113	0.9095	0.0170
114	0.9085	0.0180
115	0.9065	0.0180
116	0.9120	0.0180
117	0.9130	0.0203
118	0.9175	0.0175
119	0.9140	0.0160
120	0.9130	0.0165
121	0.9155	0.0180
122	0.9165	0.0176
123	0.9155	0.0170
124	0.9155	0.0160
125	0.9175	0.0170
126	0.9170	0.0175
127	0.9155	0.0193
128	0.9165	0.0170
129	0.9170	0.0160
130	0.9185	0.0170
131	0.9175	0.0180
132	0.9145	0.0200
133	0.9135	0.0180
134	0.9135	0.0190
135	0.9160	0.0170
136	0.9160	0.0217
137	0.9225	0.0182
138	0.9260	0.0190
139	0.9245	0.0190
140	0.9215	0.0370
141	0.9220	0.0170
142	0.9225	0.0160
143	0.9245	0.0170
144	0.9260	0.0230
145	0.9300	0.0180
146	0.9350	0.0170
147	0.9325	0.0160
148	0.9295	0.0161
149	0.9215	0.0170
150	0.9190	0.0186
151	0.9180	0.0170
152	0.9195	0.0160
153	0.9245	0.0201
154	0.9275	0.0160
155	0.9275	0.0190
156	0.9355	0.0170
157	0.9375	0.0160
158	0.9380	0.0180
159	0.9390	0.0175
160	0.9395	0.0180
161	0.9350	0.0174
162	0.9340	0.0210
163	0.9285	0.0210
164	0.9245	0.0223
165	0.9265	0.0198
166	0.9280	0.0170
167	0.9285	0.0200
168	0.9300	0.0170
169	0.9350	0.0180
170	0.9355	0.0166
171	0.9375	0.0170
172	0.9345	0.0199
173	0.9350	0.0165
174	0.9340	0.0164
175	0.9365	0.0160
176	0.9380	0.0173
177	0.9400	0.0170
178	0.9435	0.0160
179	0.9415	0.0175
180	0.9390	0.0160
181	0.9385	0.0160
182	0.9355	0.0160
183	0.9400	0.0170
184	0.9395	0.0200
185	0.9390	0.0160
186	0.9395	0.0170
187	0.9400	0.0160
188	0.9375	0.0154
189	0.9355	0.0160
190	0.9385	0.0170
191	0.9395	0.0160
192	0.9410	0.0150
193	0.9420	0.0160
194	0.9415	0.0164
195	0.9410	0.0160
196	0.9435	0.0162
197	0.9435	0.0167
198	0.9440	0.0164
199	0.9435	0.0160
200	0.9415	0.0170
201	0.9420	0.0160
202	0.9400	0.0160
203	0.9400	0.0160
204	0.9370	0.0270
205	0.9330	0.0180
206	0.9305	0.0160
207	0.9370	0.0164
208	0.9400	0.0167
209	0.9410	0.0170
210	0.9410	0.0172
211	0.9405	0.0162
212	0.9385	0.0336
213	0.9400	0.0164
214	0.9395	0.0166
215	0.9420	0.0176
216	0.9450	0.0190
217	0.9470	0.0191
218	0.9470	0.0200
219	0.9470	0.0160
220	0.9435	0.0160
221	0.9435	0.0460
222	0.9440	0.0215
223	0.9425	0.0170
224	0.9405	0.0170
225	0.9420	0.0160
226	0.9450	0.0173
227	0.9455	0.0162
228	0.9455	0.0160
229	0.9500	0.0180
230	0.9520	0.0174
231	0.9535	0.0170
232	0.9520	0.0203
233	0.9520	0.0150
234	0.9520	0.0207
235	0.9525	0.0170
236	0.9525	0.0170
237	0.9515	0.0161
238	0.9505	0.0161
239	0.9525	0.0170
240	0.9525	0.0170
241	0.9525	0.0155
242	0.9520	0.0153
243	0.9515	0.0160
244	0.9500	0.0164
245	0.9490	0.0160
246	0.9490	0.0165
247	0.9505	0.0167
248	0.9505	0.0163
249	0.9530	0.0164
250	0.9530	0.0160
251	0.9540	0.0162
252	0.9525	0.0160
253	0.9530	0.0172
254	0.9550	0.0157
255	0.9555	0.0170
256	0.9560	0.0151
257	0.9560	0.0155
258	0.9585	0.0164
259	0.9585	0.0160
260	0.9580	0.0160
261	0.9575	0.0160
262	0.9570	0.0170
263	0.9580	0.0170
264	0.9570	0.0155
265	0.9585	0.0166
266	0.9600	0.0160
267	0.9580	0.0170
268	0.9585	0.0170
269	0.9590	0.0177
270	0.9570	0.0174
271	0.9545	0.0170
272	0.9530	0.0170
273	0.9520	0.0164
274	0.9540	0.0172
275	0.9545	0.0170
276	0.9570	0.0185
277	0.9585	0.0170
278	0.9580	0.0166
279	0.9555	0.0180
280	0.9545	0.0164
281	0.9555	0.0172
282	0.9570	0.0160
283	0.9555	0.0160
284	0.9495	0.0160
285	0.9485	0.0165
286	0.9495	0.0153
287	0.9510	0.0160
288	0.9505	0.0170
289	0.9535	0.0169
290	0.9530	0.0171
291	0.9525	0.0160
292	0.9540	0.0170
293	0.9535	0.0164
294	0.9550	0.0158
295	0.9555	0.0163
296	0.9560	0.0153
297	0.9605	0.0160
298	0.9615	0.0160
299	0.9640	0.0166
300	0.9630	0.0165
301	0.9640	0.0160
302	0.9625	0.0159
303	0.9630	0.0164
304	0.9635	0.0198
305	0.9600	0.0161
306	0.9630	0.0159
307	0.9630	0.0170
308	0.9625	0.0157
309	0.9615	0.0163
310	0.9620	0.0164
311	0.9610	0.0160
312	0.9625	0.0160
313	0.9610	0.0163
314	0.9615	0.0150
315	0.9615	0.0160
316	0.9600	0.0172
317	0.9585	0.0161
318	0.9565	0.0160
319	0.9570	0.0160
320	0.9570	0.0170
321	0.9595	0.0160
322	0.9615	0.0162
323	0.9630	0.0160
