Step	Accuracy	Time
0	0.1615	0.0363
1	0.1125	0.0103
2	0.1030	0.0111
3	0.1665	0.0101
4	0.2025	0.0111
5	0.2545	0.0116
6	0.2370	0.0106
7	0.2155	0.0112
8	0.2295	0.0110
9	0.2415	0.0111
10	0.2545	0.0112
11	0.2545	0.0110
12	0.2640	0.0110
13	0.2680	0.0105
14	0.2640	0.0111
15	0.2710	0.0120
16	0.3080	0.0101
17	0.3170	0.0110
18	0.3410	0.0111
19	0.3565	0.0111
20	0.4040	0.0102
21	0.4025	0.0121
22	0.4155	0.0121
23	0.4440	0.0121
24	0.4600	0.0132
25	0.4435	0.0115
26	0.4540	0.0112
27	0.4720	0.0111
28	0.4760	0.0120
29	0.4775	0.0121
30	0.4820	0.0130
31	0.5080	0.0102
32	0.5340	0.0112
33	0.5005	0.0114
34	0.5170	0.0110
35	0.5115	0.0106
36	0.5105	0.0116
37	0.4910	0.0100
38	0.4950	0.0111
39	0.5350	0.0112
40	0.5165	0.0107
41	0.5190	0.0100
42	0.5330	0.0100
43	0.5260	0.0100
44	0.5495	0.0100
45	0.5550	0.0116
46	0.5675	0.0111
47	0.5895	0.0111
48	0.5695	0.0110
49	0.5525	0.0105
50	0.5695	0.0115
51	0.5445	0.0105
52	0.5535	0.0110
53	0.5905	0.0105
54	0.5645	0.0100
55	0.5270	0.0102
56	0.5660	0.0110
57	0.5960	0.0111
58	0.5195	0.0091
59	0.5045	0.0111
60	0.5300	0.0120
61	0.4950	0.0115
62	0.4925	0.0101
63	0.5280	0.0100
64	0.6030	0.0095
65	0.6485	0.0101
66	0.6195	0.0115
67	0.5785	0.0101
68	0.5700	0.0096
69	0.5895	0.0100
70	0.6245	0.0102
71	0.6425	0.0103
72	0.6560	0.0105
73	0.6420	0.0115
74	0.6340	0.0100
75	0.6275	0.0111
76	0.6265	0.0100
77	0.6450	0.0101
78	0.6600	0.0111
79	0.6780	0.0113
80	0.6855	0.0090
81	0.6790	0.0104
82	0.6705	0.0101
83	0.6790	0.0110
84	0.6910	0.0100
85	0.6790	0.0100
86	0.6745	0.0100
87	0.7010	0.0121
88	0.7255	0.0096
89	0.7230	0.0090
90	0.7115	0.0107
91	0.7155	0.0093
92	0.7340	0.0096
93	0.7370	0.0101
94	0.7355	0.0105
95	0.7290	0.0110
96	0.7200	0.0110
97	0.7310	0.0090
98	0.7385	0.0090
99	0.7335	0.0110
100	0.7300	0.0097
101	0.7050	0.0101
102	0.7100	0.0111
103	0.7460	0.0112
104	0.7690	0.0096
105	0.7595	0.0102
106	0.7410	0.0101
107	0.7360	0.0100
108	0.7390	0.0107
109	0.7445	0.0091
110	0.7500	0.0105
111	0.7615	0.0111
112	0.7870	0.0105
113	0.7885	0.0101
114	0.7780	0.0105
115	0.7710	0.0100
116	0.7725	0.0103
117	0.7735	0.0120
118	0.7830	0.0090
119	0.7855	0.0090
120	0.7595	0.0120
121	0.7705	0.0091
122	0.7695	0.0100
123	0.7635	0.0115
124	0.7650	0.0105
125	0.7645	0.0103
126	0.7725	0.0110
127	0.7865	0.0091
