Step	Accuracy	Time
0	0.1965	0.0678
1	0.2065	0.0166
2	0.2750	0.0207
3	0.2405	0.0171
4	0.2665	0.0165
5	0.3535	0.0173
6	0.4470	0.0178
7	0.5125	0.0161
8	0.5675	0.0166
9	0.6140	0.0172
10	0.6455	0.0186
11	0.6450	0.0165
12	0.6255	0.0171
13	0.6215	0.0160
14	0.6165	0.0166
15	0.6415	0.0185
16	0.6310	0.0195
17	0.6425	0.0151
18	0.6710	0.0161
19	0.7045	0.0187
20	0.6910	0.0176
21	0.6850	0.0169
22	0.7000	0.0232
23	0.7330	0.0182
24	0.7515	0.0184
25	0.7425	0.0175
26	0.7570	0.0181
27	0.7815	0.0175
28	0.7865	0.0177
29	0.7685	0.0183
30	0.7605	0.0161
31	0.7610	0.0181
32	0.7745	0.0168
33	0.7890	0.0166
34	0.8035	0.0181
35	0.8210	0.0172
36	0.8255	0.0161
37	0.8250	0.0171
38	0.8205	0.0162
39	0.8285	0.0182
40	0.8365	0.0165
41	0.8220	0.0163
42	0.8045	0.0172
43	0.8085	0.0184
44	0.8300	0.0181
45	0.8495	0.0168
46	0.8500	0.0168
47	0.8450	0.0176
48	0.8245	0.0163
49	0.8320	0.0180
50	0.8385	0.0163
51	0.8615	0.0176
52	0.8660	0.0171
53	0.8670	0.0171
54	0.8665	0.0348
55	0.8645	0.0185
56	0.8530	0.0406
57	0.8420	0.0172
58	0.8500	0.0177
59	0.8595	0.0175
60	0.8730	0.0181
61	0.8800	0.0248
62	0.8810	0.0167
63	0.8805	0.0176
64	0.8755	0.0161
65	0.8735	0.0175
66	0.8735	0.0171
67	0.8750	0.0190
68	0.8850	0.0170
69	0.8910	0.0178
70	0.8875	0.0181
71	0.8850	0.0155
72	0.8810	0.0152
73	0.8815	0.0162
74	0.8850	0.0172
75	0.8840	0.0182
76	0.8895	0.0156
77	0.8875	0.0171
78	0.8865	0.0176
79	0.8870	0.0185
80	0.8915	0.0180
81	0.8955	0.0210
82	0.8955	0.0155
83	0.8920	0.0180
84	0.8960	0.0406
85	0.8990	0.0236
86	0.8980	0.0235
87	0.9050	0.0172
88	0.9050	0.0153
89	0.9035	0.0191
90	0.8980	0.0182
91	0.8955	0.0173
92	0.8880	0.0165
93	0.8865	0.0167
94	0.8950	0.0175
95	0.9025	0.0163
96	0.9055	0.0168
97	0.9055	0.0166
98	0.9085	0.0173
99	0.9080	0.0172
100	0.9080	0.0165
101	0.9045	0.0163
102	0.9070	0.0155
103	0.9115	0.0224
104	0.9185	0.0183
105	0.9175	0.0488
106	0.9035	0.0185
107	0.8965	0.0170
108	0.8910	0.0154
109	0.8920	0.0189
110	0.9010	0.0190
111	0.9140	0.0198
112	0.9195	0.0184
113	0.9190	0.0186
114	0.9165	0.0172
115	0.9175	0.0178
116	0.9185	0.0171
117	0.9205	0.0165
118	0.9215	0.0166
119	0.9190	0.0190
120	0.9205	0.0178
121	0.9210	0.0193
122	0.9190	0.0163
123	0.9185	0.0191
124	0.9230	0.0183
125	0.9300	0.0176
126	0.9300	0.0190
127	0.9255	0.0187
128	0.9245	0.0205
129	0.9235	0.0208
130	0.9195	0.0189
131	0.9200	0.0208
