Step	Accuracy	Time
1	0.1087	17.88
2	0.2067	17.0784
3	0.2901	16.8174
4	0.3546	16.543
5	0.3869	16.3711
6	0.398	16.4553
7	0.4197	16.444
8	0.4209	16.4882
9	0.4281	17.4666
10	0.4398	17.1532
11	0.4676	17.1117
12	0.4592	17.6331
13	0.4453	17.2986
14	0.4607	16.37
15	0.4724	16.8396
16	0.455	16.5279
17	0.4727	16.485
18	0.4595	16.2849
19	0.4864	16.4297
20	0.4893	16.4846
21	0.516	16.6508
22	0.4718	16.3155
23	0.4978	16.4781
24	0.5105	16.5424
25	0.5065	16.53
26	0.4625	16.4046
27	0.5101	17.5209
28	0.5107	17.4162
29	0.5096	17.1158
30	0.5028	17.2413
31	0.4981	16.4599
32	0.5114	16.5378
33	0.4932	16.7464
34	0.4923	16.5393
35	0.5082	16.5267
36	0.5133	16.4282
37	0.4674	16.2778
38	0.4962	16.4813
39	0.5105	16.6023
40	0.4658	16.3701
41	0.4568	16.51
42	0.4883	16.4561
43	0.4927	16.4812
44	0.5019	16.8175
45	0.5341	17.5607
46	0.5108	17.0199
47	0.4938	17.3311
48	0.5132	17.4236
49	0.4458	16.4146
50	0.4761	16.7019
51	0.491	16.7674
52	0.4868	16.4144
53	0.5113	16.5626
54	0.4999	16.4761
55	0.4863	16.4776
56	0.4553	16.375
57	0.485	16.7881
58	0.529	16.3879
59	0.5007	16.471
60	0.6533	16.4884
61	0.6544	16.535
62	0.6582	17.2796
63	0.6653	17.7634
64	0.6611	17.2002
65	0.6615	17.2136
66	0.6558	17.2349
67	0.6525	16.2695
68	0.6501	16.3291
69	0.643	16.5918
70	0.6551	16.3989
71	0.6549	16.5023
72	0.6493	16.4639
73	0.6348	16.5015
74	0.6521	17.5178
75	0.6518	16.8774
76	0.6426	16.6491
77	0.6428	16.6994
78	0.6404	16.6843
79	0.6392	16.711
80	0.623	17.5831
81	0.6396	17.442
82	0.6452	17.2292
83	0.6528	17.3663
84	0.6366	17.4535
85	0.6485	16.5045
86	0.6478	16.733
87	0.6379	16.8152
88	0.636	16.7475
89	0.6386	16.7841
90	0.6311	17.7371
91	0.6409	17.0515
92	0.6378	17.0672
93	0.6378	16.8838
94	0.6451	17.0426
95	0.637	17.4573
96	0.6376	17.0913
97	0.641	17.2368
98	0.6408	16.9676
99	0.6488	17.2757
100	0.64	16.9727
