Step	Accuracy	Time
0	0.1095	0.0730
1	0.1160	0.0310
2	0.1440	0.0290
3	0.1805	0.0280
4	0.1640	0.0290
5	0.3010	0.0300
6	0.2250	0.0280
7	0.1995	0.0300
8	0.2820	0.0290
9	0.3705	0.0290
10	0.3890	0.0300
11	0.3755	0.0290
12	0.3955	0.0290
13	0.4295	0.0280
14	0.4430	0.0290
15	0.4860	0.0300
16	0.5030	0.0300
17	0.5105	0.0290
18	0.5490	0.0290
19	0.5375	0.0280
20	0.5380	0.0300
21	0.5125	0.0300
22	0.5390	0.0290
23	0.5930	0.0300
24	0.5905	0.0290
25	0.6040	0.0300
26	0.6120	0.0290
27	0.6130	0.0300
28	0.6170	0.0300
29	0.6130	0.0290
30	0.6210	0.0300
31	0.6195	0.0310
32	0.6630	0.0290
33	0.6725	0.0290
34	0.6855	0.0300
35	0.6800	0.0300
36	0.6945	0.0300
37	0.6980	0.0300
38	0.7045	0.0300
39	0.7105	0.0300
40	0.6955	0.0300
41	0.6930	0.0300
42	0.7165	0.0290
43	0.7285	0.0310
44	0.7350	0.0290
45	0.7205	0.0310
46	0.7340	0.0290
47	0.7700	0.0310
48	0.7635	0.0290
49	0.7685	0.0310
50	0.7720	0.0300
51	0.7795	0.0300
52	0.7725	0.0290
53	0.7840	0.0350
54	0.7900	0.0330
55	0.7935	0.0310
56	0.7850	0.0320
57	0.7945	0.0320
58	0.7910	0.0320
59	0.8050	0.0320
60	0.8390	0.0310
61	0.8340	0.0340
62	0.8335	0.0320
63	0.8200	0.0300
64	0.8100	0.0300
65	0.7955	0.0280
66	0.8175	0.0280
67	0.8250	0.0300
68	0.8300	0.0290
69	0.8040	0.0280
70	0.7925	0.0280
71	0.8310	0.0280
72	0.8285	0.0270
73	0.8165	0.0270
74	0.8595	0.0300
75	0.8265	0.0300
76	0.8425	0.0290
77	0.8460	0.0290
78	0.8605	0.0280
79	0.8460	0.0290
80	0.8505	0.0270
81	0.8605	0.0290
82	0.8695	0.0280
83	0.8590	0.0270
84	0.8465	0.0280
85	0.8470	0.0270
86	0.8820	0.0270
87	0.8575	0.0270
88	0.8705	0.0270
89	0.8790	0.0260
90	0.8745	0.0280
91	0.8865	0.0270
92	0.8810	0.0270
93	0.8860	0.0280
94	0.8920	0.0270
95	0.8880	0.0270
96	0.8850	0.0290
97	0.8930	0.0270
98	0.8980	0.0270
99	0.8805	0.0320
100	0.8815	0.0320
101	0.8675	0.0310
102	0.8720	0.0310
103	0.8890	0.0320
104	0.8865	0.0310
105	0.8875	0.0300
106	0.9060	0.0320
107	0.9020	0.0310
108	0.8955	0.0300
109	0.9080	0.0340
110	0.8965	0.0400
111	0.8955	0.0310
112	0.9070	0.0300
113	0.8965	0.0300
114	0.9120	0.0310
115	0.9140	0.0300
116	0.8960	0.0300
117	0.8845	0.0300
118	0.8995	0.0280
119	0.9100	0.0290
120	0.9005	0.0280
121	0.8845	0.0300
122	0.9095	0.0280
123	0.8930	0.0290
124	0.8660	0.0280
125	0.8995	0.0300
126	0.9100	0.0270
127	0.9045	0.0300
128	0.9035	0.0290
129	0.9160	0.0300
130	0.9020	0.0270
131	0.8715	0.0300
132	0.9070	0.0280
133	0.9195	0.0300
134	0.9125	0.0280
135	0.8960	0.0340
136	0.9095	0.0280
137	0.9160	0.0300
138	0.8860	0.0340
139	0.8500	0.0320
140	0.9020	0.0270
141	0.8810	0.0310
142	0.8865	0.0280
143	0.8850	0.0300
144	0.8985	0.0340
145	0.9110	0.0310
146	0.9145	0.0280
147	0.9060	0.0360
148	0.9025	0.0420
149	0.9110	0.0300
150	0.9055	0.0280
151	0.9055	0.0300
152	0.9115	0.0300
153	0.9150	0.0270
154	0.9145	0.0270
155	0.9105	0.0280
156	0.9080	0.0300
157	0.9190	0.0270
158	0.9275	0.0300
159	0.9255	0.0280
160	0.9230	0.0290
161	0.9185	0.0280
162	0.9140	0.0300
163	0.9155	0.0270
164	0.9195	0.0290
165	0.9225	0.0270
166	0.9230	0.0280
167	0.9240	0.0270
168	0.9215	0.0270
169	0.9215	0.0270
170	0.9220	0.0280
171	0.9210	0.0290
172	0.9300	0.0270
173	0.9305	0.0270
174	0.9360	0.0270
175	0.9365	0.0270
176	0.9365	0.0270
177	0.9365	0.0280
178	0.9315	0.0270
179	0.9290	0.0260
180	0.9340	0.0270
181	0.9345	0.0270
182	0.9345	0.0270
183	0.9325	0.0290
184	0.9335	0.0270
