Step	Accuracy	Time
0	0.1835	0.0111
1	0.2490	0.0245
2	0.3335	0.0000
3	0.4230	0.0010
4	0.4645	0.0080
5	0.4900	0.0087
6	0.5185	0.0010
7	0.5380	0.0010
8	0.5640	0.0010
9	0.5820	0.0010
10	0.6035	0.0010
11	0.6210	0.0000
12	0.6310	0.0010
13	0.6380	0.0000
14	0.6520	0.0010
15	0.6615	0.0106
16	0.6720	0.0050
17	0.6780	0.0010
18	0.6860	0.0010
19	0.6935	0.0000
20	0.6995	0.0010
21	0.7010	0.0010
22	0.7025	0.0053
23	0.7120	0.0000
24	0.7175	0.0000
25	0.7235	0.0010
26	0.7265	0.0005
27	0.7280	0.0012
28	0.7315	0.0020
29	0.7335	0.0010
30	0.7330	0.0020
31	0.7355	0.0010
32	0.7415	0.0010
33	0.7465	0.0010
34	0.7495	0.0000
35	0.7535	0.0000
36	0.7530	0.0010
37	0.7555	0.0275
38	0.7560	0.0010
39	0.7565	0.0000
40	0.7555	0.0000
41	0.7585	0.0020
42	0.7605	0.0010
43	0.7630	0.0010
44	0.7620	0.0109
45	0.7615	0.0067
46	0.7600	0.0010
47	0.7600	0.0010
48	0.7615	0.0010
49	0.7620	0.0010
50	0.7625	0.0010
51	0.7650	0.0015
52	0.7675	0.0000
53	0.7710	0.0000
54	0.7725	0.0010
55	0.7770	0.0010
56	0.7780	0.0010
57	0.7815	0.0137
58	0.7840	0.0010
59	0.7865	0.0030
60	0.7860	0.0000
61	0.7885	0.0010
62	0.7895	0.0020
63	0.7895	0.0163
64	0.7895	0.0010
65	0.7895	0.0010
66	0.7875	0.0000
67	0.7875	0.0010
68	0.7855	0.0010
69	0.7865	0.0000
70	0.7890	0.0010
71	0.7885	0.0000
72	0.7900	0.0000
73	0.7915	0.0120
74	0.7945	0.0061
75	0.7950	0.0055
76	0.7955	0.0030
77	0.7970	0.0065
78	0.7975	0.0010
79	0.7980	0.0010
80	0.8015	0.0000
81	0.8010	0.0000
82	0.8020	0.0030
83	0.8035	0.0010
84	0.8065	0.0000
85	0.8110	0.0010
86	0.8125	0.0000
87	0.8160	0.0000
88	0.8170	0.0010
89	0.8180	0.0143
90	0.8180	0.0107
91	0.8190	0.0020
92	0.8220	0.0030
93	0.8225	0.0000
94	0.8235	0.0010
95	0.8230	0.0000
96	0.8265	0.0010
97	0.8285	0.0030
98	0.8265	0.0050
99	0.8275	0.0000
100	0.8275	0.0015
101	0.8270	0.0010
102	0.8280	0.0010
103	0.8285	0.0000
104	0.8285	0.0010
105	0.8295	0.0000
106	0.8280	0.0020
107	0.8280	0.0060
108	0.8280	0.0010
109	0.8275	0.0030
110	0.8270	0.0010
111	0.8265	0.0103
112	0.8255	0.0010
113	0.8245	0.0000
114	0.8240	0.0000
115	0.8230	0.0000
116	0.8225	0.0000
117	0.8245	0.0000
118	0.8260	0.0010
119	0.8265	0.0000
120	0.8265	0.0000
121	0.8275	0.0135
122	0.8270	0.0088
123	0.8275	0.0010
124	0.8280	0.0105
125	0.8290	0.0010
126	0.8300	0.0020
127	0.8300	0.0092
128	0.8290	0.0040
129	0.8280	0.0020
130	0.8285	0.0040
131	0.8285	0.0000
132	0.8300	0.0010
133	0.8280	0.0010
134	0.8300	0.0030
135	0.8295	0.0000
136	0.8290	0.0010
137	0.8285	0.0010
138	0.8285	0.0000
139	0.8285	0.0010
140	0.8300	0.0000
141	0.8305	0.0000
142	0.8315	0.0000
143	0.8315	0.0206
144	0.8325	0.0020
145	0.8310	0.0080
146	0.8310	0.0010
147	0.8330	0.0040
148	0.8340	0.0064
149	0.8345	0.0090
150	0.8335	0.0000
151	0.8335	0.0010
152	0.8345	0.0010
153	0.8335	0.0000
154	0.8335	0.0000
155	0.8330	0.0000
156	0.8325	0.0010
157	0.8320	0.0000
158	0.8295	0.0000
159	0.8295	0.0010
160	0.8305	0.0010
161	0.8315	0.0050
162	0.8340	0.0030
163	0.8350	0.0010
164	0.8360	0.0077
165	0.8370	0.0010
166	0.8400	0.0030
167	0.8410	0.0066
168	0.8420	0.0000
169	0.8410	0.0000
170	0.8420	0.0000
171	0.8420	0.0000
172	0.8425	0.0010
173	0.8420	0.0000
174	0.8425	0.0010
175	0.8415	0.0010
176	0.8405	0.0234
177	0.8390	0.0010
178	0.8390	0.0010
179	0.8390	0.0107
180	0.8375	0.0010
181	0.8385	0.0120
182	0.8415	0.0010
183	0.8420	0.0010
184	0.8420	0.0010
