Step	Accuracy	Time
0	0.0728	52.2063
1	0.1403	49.3449
2	0.1898	50.4367
3	0.2079	47.348
4	0.2541	48.3756
5	0.2744	53.9919
6	0.2766	53.6093
7	0.3235	47.2133
8	0.3165	51.244
9	0.2574	52.1642
10	0.2958	52.3425
11	0.3699	52.3097
12	0.3492	52.253
13	0.3761	51.2962
14	0.3157	46.4124
15	0.3932	46.2867
16	0.3799	46.6072
17	0.2936	52.2952
18	0.3284	53.5874
19	0.3852	53.5785
20	0.3477	53.972
21	0.3593	54.1216
22	0.3756	54.2685
23	0.377	53.9136
24	0.3908	53.417
25	0.4275	53.7179
26	0.2788	54.0528
27	0.3643	53.4022
28	0.4223	54.3128
29	0.4014	53.4444
30	0.4177	53.9807
31	0.3525	53.2468
32	0.3715	48.7992
33	0.34	48.951
34	0.3819	49.3814
35	0.4281	49.0716
36	0.4098	48.7597
37	0.4109	48.2905
38	0.3294	49.3589
39	0.3818	49.2315
40	0.358	48.8217
41	0.4139	49.0825
42	0.3031	48.093
43	0.4052	48.4404
44	0.3232	48.3959
45	0.3895	48.732
46	0.4093	48.9195
47	0.3712	48.9214
48	0.3984	49.0349
49	0.3883	49.1397
50	0.3389	48.2903
51	0.3847	48.9345
52	0.4369	48.3501
53	0.3849	48.2574
54	0.3805	48.3515
55	0.3868	48.7075
56	0.4347	48.9087
57	0.4067	48.0526
58	0.378	49.1807
59	0.5706	48.346
60	0.5719	49.3992
61	0.5793	49.7752
62	0.5727	48.1653
63	0.5823	48.5489
64	0.5816	48.548
65	0.5751	48.7099
66	0.5735	50.3812
67	0.5648	48.5298
68	0.5774	48.5088
69	0.5723	49.3286
70	0.5819	49.0093
71	0.5612	48.8718
72	0.5845	49.1518
73	0.5821	48.4804
74	0.5282	49.0444
75	0.5337	48.4543
76	0.5544	48.2137
77	0.562	48.8132
78	0.5607	49.7865
79	0.5721	49.2886
80	0.5461	48.6686
81	0.5749	48.545
82	0.5702	48.0668
83	0.5548	49.0188
84	0.5645	48.878
85	0.5528	48.7224
86	0.5732	48.7847
87	0.5572	49.5386
88	0.5725	49.0863
89	0.566	49.0458
90	0.53	49.1023
91	0.5471	49.0917
92	0.5502	49.2757
93	0.5817	48.5676
94	0.5672	48.4833
95	0.5678	48.8937
96	0.5759	49.0144
97	0.5748	49.0203
98	0.5641	48.8652
99	0.5706	48.8638
