Step	Accuracy	Time
0	0.1980	0.0130
1	0.2530	0.0010
2	0.2915	0.0020
3	0.3405	0.0010
4	0.4015	0.0010
5	0.4475	0.0010
6	0.4955	0.0020
7	0.5405	0.0010
8	0.5760	0.0011
9	0.6075	0.0020
10	0.6255	0.0020
11	0.6430	0.0020
12	0.6525	0.0030
13	0.6605	0.0010
14	0.6720	0.0010
15	0.6860	0.0010
16	0.6920	0.0010
17	0.7045	0.0020
18	0.7105	0.0024
19	0.7170	0.0020
20	0.7185	0.0020
21	0.7220	0.0011
22	0.7235	0.0020
23	0.7240	0.0010
24	0.7275	0.0010
25	0.7310	0.0010
26	0.7340	0.0010
27	0.7370	0.0010
28	0.7370	0.0020
29	0.7400	0.0020
30	0.7430	0.0020
31	0.7500	0.0020
32	0.7515	0.0010
33	0.7550	0.0010
34	0.7560	0.0020
35	0.7560	0.0010
36	0.7575	0.0010
37	0.7580	0.0010
38	0.7595	0.0010
39	0.7640	0.0010
40	0.7640	0.0010
41	0.7670	0.0020
42	0.7700	0.0020
43	0.7700	0.0020
44	0.7700	0.0010
45	0.7700	0.0010
46	0.7715	0.0010
47	0.7745	0.0020
48	0.7760	0.0010
49	0.7780	0.0020
50	0.7785	0.0010
51	0.7800	0.0023
52	0.7800	0.0020
53	0.7840	0.0010
54	0.7830	0.0010
55	0.7835	0.0014
56	0.7840	0.0020
57	0.7845	0.0010
58	0.7870	0.0011
