Step	Accuracy	Time
1	0.0875	73.924
2	0.1756	74.4038
3	0.2427	74.8161
4	0.3327	75.1579
5	0.3657	75.2891
6	0.3897	75.1985
7	0.4268	75.2585
8	0.3923	75.2444
9	0.4475	75.4214
10	0.4592	75.4259
11	0.4329	75.6681
12	0.4678	75.3015
13	0.4972	75.4392
14	0.5115	75.5288
15	0.4437	75.4706
16	0.5128	75.3422
17	0.4871	75.1355
18	0.5252	75.5507
19	0.5261	75.3817
20	0.4659	75.4559
21	0.522	75.3265
22	0.5369	75.5317
23	0.4241	75.6329
24	0.531	75.2888
25	0.5413	75.4944
26	0.5102	75.6514
27	0.5309	75.2171
28	0.5322	75.4313
29	0.5384	75.3431
30	0.5725	75.2968
31	0.5776	75.3878
32	0.5561	75.2502
33	0.5578	75.3476
34	0.5546	75.4528
35	0.5192	75.2138
36	0.5557	75.4065
37	0.5818	75.6605
38	0.5209	75.3396
39	0.5544	75.4431
40	0.5602	75.3001
41	0.5557	75.3395
42	0.5152	75.1293
43	0.5275	75.3669
44	0.5066	75.3601
45	0.5516	75.2702
46	0.5647	75.6155
47	0.4967	75.4099
48	0.5216	75.53
49	0.501	75.4478
50	0.5488	75.5276
51	0.4992	75.322
52	0.5321	75.4619
53	0.5476	75.4594
54	0.5491	75.3841
55	0.536	75.9844
56	0.5708	75.4209
57	0.5736	75.5688
58	0.5503	75.4186
59	0.5482	75.2908
60	0.724	75.4281
61	0.7339	75.4988
62	0.7408	75.3868
63	0.7325	75.6254
64	0.7317	75.2946
65	0.7276	75.4283
66	0.7217	75.5421
67	0.7249	75.3698
68	0.712	75.5327
69	0.7095	75.4681
70	0.7	75.6384
71	0.7084	75.9261
72	0.701	75.6365
73	0.7077	75.5087
74	0.6836	75.3289
75	0.7025	76.1372
76	0.6889	75.6307
77	0.6918	75.4924
78	0.7073	75.6129
79	0.689	75.6951
80	0.7002	75.59
81	0.6981	75.5672
82	0.6883	75.5681
83	0.6915	75.6322
84	0.6904	75.6694
85	0.692	75.718
86	0.7017	75.6485
87	0.6942	75.6946
88	0.6822	75.5716
89	0.6781	75.6411
90	0.6744	75.5621
91	0.6951	75.4792
92	0.6976	75.6971
93	0.6953	75.6701
94	0.6869	75.4939
95	0.6858	75.5615
96	0.6913	75.5413
97	0.6985	75.5033
98	0.6951	76.7695
99	0.6896	76.5799
100	0.6684	77.1179
